Source;Target;Type
1;2;Undirected
2;3;Undirected
3;4;Undirected
4;5;Undirected
5;6;Undirected
5;28;Undirected
6;7;Undirected
7;8;Undirected
8;9;Undirected
8;19;Undirected
9;10;Undirected
10;11;Undirected
11;12;Undirected
12;13;Undirected
12;15;Undirected
13;14;Undirected
15;16;Undirected
15;17;Undirected
17;18;Undirected
19;20;Undirected
20;21;Undirected
20;22;Undirected
22;23;Undirected
23;24;Undirected
24;25;Undirected
24;27;Undirected
25;26;Undirected
27;28;Undirected
29;4;Undirected
29;30;Undirected
30;31;Undirected
31;32;Undirected
32;33;Undirected
32;35;Undirected
33;34;Undirected
34;40;Undirected
35;36;Undirected
36;5;Undirected
36;37;Undirected
37;38;Undirected
38;39;Undirected
40;41;Undirected
40;42;Undirected
40;60;Undirected
40;64;Undirected
43;42;Undirected
44;43;Undirected
44;46;Undirected
45;44;Undirected
46;47;Undirected
48;43;Undirected
49;48;Undirected
50;49;Undirected
51;50;Undirected
52;51;Undirected
53;49;Undirected
53;54;Undirected
53;56;Undirected
54;55;Undirected
56;64;Undirected
57;56;Undirected
58;57;Undirected
59;58;Undirected
61;60;Undirected
61;62;Undirected
62;63;Undirected
63;59;Undirected
64;65;Undirected
65;66;Undirected
66;67;Undirected
68;67;Undirected
